URL,Lang,Material,RecordNumb,RepCategory,ValidityArea
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='100111C',RecordNumb='421565',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,100111C,421565,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='100111C',RecordNumb='425200',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,100111C,425200,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001403',RecordNumb='368543',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,1001403,368543,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001403',RecordNumb='442468',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,1001403,442468,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001403',RecordNumb='442463',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,1001403,442463,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001482',RecordNumb='414896',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,1001482,414896,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001482',RecordNumb='429627',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,1001482,429627,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001482',RecordNumb='435350',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,1001482,435350,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001517',RecordNumb='368739',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,1001517,368739,DISC2,ZCAL
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001517',RecordNumb='420205',Lang='EN',RepCategory='MSDS',ValidityArea='CA')/getPDF",EN,1001517,420205,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001517',RecordNumb='423840',Lang='FR',RepCategory='MSDS',ValidityArea='CA')/getPDF",FR,1001517,423840,MSDS,CA
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001517',RecordNumb='429139',Lang='EN',RepCategory='MSDS',ValidityArea='US')/getPDF",EN,1001517,429139,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001517',RecordNumb='434938',Lang='ES',RepCategory='MSDS',ValidityArea='US')/getPDF",ES,1001517,434938,MSDS,US
"https://zsds3.zepinc.com/v2/sds/ItemExternalSet(Material='1001532',RecordNumb='369602',Lang='EN',RepCategory='DISC2',ValidityArea='ZCAL')/getPDF",EN,1001532,369602,DISC2,ZCAL
